GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister
regular,AmericanAirlines Arena Miami Florida,January 23 2017,7:30 PM,MIA,1,542,GSW,K. Thompson makes 2-pt layup from 2 ft (assist by K. Durant),5,MIA,,9,K. Thompson - GSW,2-pt layup,make,2,K. Durant - GSW
regular,AmericanAirlines Arena Miami Florida,January 23 2017,7:30 PM,MIA,1,401,GSW,K. Durant makes 2-pt jump shot from 16 ft (assist by D. Green),9,MIA,,11,K. Durant - GSW,2-pt jump shot,make,16,D. Green - GSW
regular,AmericanAirlines Arena Miami Florida,January 23 2017,7:30 PM,MIA,1,301,GSW,J. McGee makes 2-pt hook shot from 8 ft (assist by D. Green),15,MIA,,17,J. McGee - GSW,2-pt hook shot,make,8,D. Green - GSW
regular,AmericanAirlines Arena Miami Florida,January 23 2017,7:30 PM,MIA,1,204,GSW,I. Clark makes 2-pt layup from 1 ft (assist by K. Durant),17,MIA,,24,I. Clark - GSW,2-pt layup,make,1,K. Durant - GSW
regular,AmericanAirlines Arena Miami Florida,January 23 2017,7:30 PM,MIA,1,173,GSW,J. McGee makes 2-pt dunk at rim (assist by S. Curry),19,MIA,,26,J. McGee - GSW,2-pt dunk,make,0,S. Curry - GSW
regular,AmericanAirlines Arena Miami Florida,January 23 2017,7:30 PM,MIA,1,143,GSW,K. Durant makes 2-pt dunk at rim (assist by S. Curry),21,MIA,,26,K. Durant - GSW,2-pt dunk,make,0,S. Curry - GSW
regular,AmericanAirlines Arena Miami Florida,January 23 2017,7:30 PM,MIA,1,93,GSW,D. Green makes 2-pt layup from 2 ft (assist by J. McGee),23,MIA,,26,D. Green - GSW,2-pt layup,make,2,J. McGee - GSW
regular,AmericanAirlines Arena Miami Florida,January 23 2017,7:30 PM,MIA,1,70,GSW,J. McGee makes 2-pt dunk at rim (assist by S. Curry),25,MIA,,26,J. McGee - GSW,2-pt dunk,make,0,S. Curry - GSW
regular,AmericanAirlines Arena Miami Florida,January 23 2017,7:30 PM,MIA,2,706,GSW,K. Thompson makes 2-pt jump shot from 12 ft (assist by S. Livingston),32,MIA,,28,K. Thompson - GSW,2-pt jump shot,make,12,S. Livingston - GSW
regular,AmericanAirlines Arena Miami Florida,January 23 2017,7:30 PM,MIA,2,672,GSW,J. McGee makes 2-pt layup from 1 ft (assist by K. Thompson),34,MIA,,28,J. McGee - GSW,2-pt layup,make,1,K. Thompson - GSW
regular,AmericanAirlines Arena Miami Florida,January 23 2017,7:30 PM,MIA,2,520,GSW,D. Green makes 2-pt jump shot from 3 ft (assist by S. Livingston),36,MIA,,33,D. Green - GSW,2-pt jump shot,make,3,S. Livingston - GSW
regular,AmericanAirlines Arena Miami Florida,January 23 2017,7:30 PM,MIA,2,470,GSW,D. Green makes 2-pt jump shot from 17 ft (assist by S. Livingston),38,MIA,,36,D. Green - GSW,2-pt jump shot,make,17,S. Livingston - GSW
regular,AmericanAirlines Arena Miami Florida,January 23 2017,7:30 PM,MIA,2,376,GSW,K. Thompson makes 2-pt jump shot from 18 ft (assist by S. Livingston),40,MIA,,38,K. Thompson - GSW,2-pt jump shot,make,18,S. Livingston - GSW
regular,AmericanAirlines Arena Miami Florida,January 23 2017,7:30 PM,MIA,2,324,GSW,K. Durant makes 2-pt jump shot from 16 ft (assist by Z. Pachulia),42,MIA,,40,K. Durant - GSW,2-pt jump shot,make,16,Z. Pachulia - GSW
