GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister
regular,Oracle Arena Oakland California,October 25 2016,10:30 PM,SAS,1,542,SAS,,6,GSW,S. Curry misses 3-pt jump shot from 29 ft,2,S. Curry - GSW,3-pt jump shot,miss,29,
regular,Oracle Arena Oakland California,October 25 2016,10:30 PM,SAS,1,486,SAS,,10,GSW,S. Curry makes 3-pt jump shot from 26 ft,7,S. Curry - GSW,3-pt jump shot,make,26,
regular,Oracle Arena Oakland California,October 25 2016,10:30 PM,SAS,1,143,SAS,,18,GSW,S. Curry misses 3-pt jump shot from 28 ft,18,S. Curry - GSW,3-pt jump shot,miss,28,
regular,Oracle Arena Oakland California,October 25 2016,10:30 PM,SAS,1,121,SAS,,21,GSW,S. Curry misses 2-pt jump shot from 22 ft,18,S. Curry - GSW,2-pt jump shot,miss,22,
regular,Oracle Arena Oakland California,October 25 2016,10:30 PM,SAS,2,407,SAS,,42,GSW,S. Curry makes 3-pt jump shot from 27 ft,28,S. Curry - GSW,3-pt jump shot,make,27,
regular,Oracle Arena Oakland California,October 25 2016,10:30 PM,SAS,2,298,SAS,,46,GSW,S. Curry makes 2-pt jump shot from 7 ft,34,S. Curry - GSW,2-pt jump shot,make,7,
regular,Oracle Arena Oakland California,October 25 2016,10:30 PM,SAS,2,214,SAS,,50,GSW,S. Curry makes 2-pt layup from 1 ft,36,S. Curry - GSW,2-pt layup,make,1,
regular,Oracle Arena Oakland California,October 25 2016,10:30 PM,SAS,2,197,SAS,,50,GSW,S. Curry makes 3-pt jump shot from 27 ft (assist by K. Durant),40,S. Curry - GSW,3-pt jump shot,make,27,K. Durant - GSW
regular,Oracle Arena Oakland California,October 25 2016,10:30 PM,SAS,2,175,SAS,,50,GSW,S. Curry misses 3-pt jump shot from 28 ft,40,S. Curry - GSW,3-pt jump shot,miss,28,
regular,Oracle Arena Oakland California,October 25 2016,10:30 PM,SAS,3,516,SAS,,71,GSW,S. Curry misses 3-pt jump shot from 31 ft,58,S. Curry - GSW,3-pt jump shot,miss,31,
regular,Oracle Arena Oakland California,October 25 2016,10:30 PM,SAS,3,308,SAS,,80,GSW,S. Curry misses 3-pt jump shot from 30 ft,64,S. Curry - GSW,3-pt jump shot,miss,30,
regular,Oracle Arena Oakland California,October 25 2016,10:30 PM,SAS,3,274,SAS,,80,GSW,S. Curry misses 2-pt layup from 1 ft (block by J. Simmons),64,S. Curry - GSW,2-pt layup,miss,1,
regular,Oracle Arena Oakland California,October 25 2016,10:30 PM,SAS,3,246,SAS,,82,GSW,S. Curry misses 3-pt jump shot from 23 ft,64,S. Curry - GSW,3-pt jump shot,miss,23,
regular,Oracle Arena Oakland California,October 25 2016,10:30 PM,SAS,3,215,SAS,,84,GSW,S. Curry makes 2-pt layup from 1 ft (assist by P. McCaw),66,S. Curry - GSW,2-pt layup,make,1,P. McCaw - GSW
