Shooter,Assister,Weight
S. Curry,D. Green,154
K. Thompson,D. Green,152
K. Thompson,S. Curry,150
K. Durant,S. Curry,132
K. Durant,D. Green,111
K. Thompson,K. Durant,96
D. Green,S. Curry,86
S. Curry,K. Durant,81
K. Thompson,A. Iguodala,63
A. Iguodala,S. Curry,61
Z. Pachulia,S. Curry,61
K. Durant,A. Iguodala,55
J. McGee,D. Green,53
S. Curry,A. Iguodala,52
J. McGee,S. Curry,52
K. Thompson,D. West,50
A. Iguodala,D. Green,40
D. Green,K. Durant,38
D. Green,K. Thompson,36
K. Thompson,Z. Pachulia,36
D. Green,A. Iguodala,35
I. Clark,D. West,34
I. Clark,D. Green,34
K. Durant,Z. Pachulia,33
D. West,A. Iguodala,31
Z. Pachulia,K. Thompson,30
Z. Pachulia,D. Green,28
K. Durant,K. Thompson,28
S. Curry,Z. Pachulia,28
I. Clark,K. Durant,27
S. Livingston,D. Green,26
K. Thompson,S. Livingston,26
D. Green,Z. Pachulia,25
S. Curry,K. Thompson,24
A. Iguodala,D. West,24
A. Iguodala,K. Durant,23
J. McGee,K. Durant,23
P. McCaw,S. Curry,22
Z. Pachulia,K. Durant,22
K. Durant,D. West,21
S. Curry,S. Livingston,21
D. West,K. Durant,20
D. West,D. Green,20
K. Durant,S. Livingston,18
D. West,S. Livingston,18
J. McGee,K. Thompson,18
S. Livingston,D. West,17
I. Clark,A. Iguodala,17
J. McGee,A. Iguodala,17
A. Iguodala,S. Livingston,17
D. Green,D. West,17
D. Green,S. Livingston,16
I. Clark,S. Curry,16
S. Livingston,A. Iguodala,15
S. Livingston,S. Curry,15
S. Curry,P. McCaw,15
D. West,K. Thompson,14
J. McGee,P. McCaw,13
K. Thompson,P. McCaw,13
M. Barnes,S. Curry,13
P. McCaw,D. Green,13
D. West,S. Curry,13
A. Iguodala,I. Clark,12
I. Clark,S. Livingston,12
S. Livingston,K. Durant,12
J. McGee,I. Clark,12
J. McAdoo,S. Livingston,11
K. Durant,I. Clark,11
D. West,I. Clark,11
P. McCaw,K. Durant,10
I. Clark,P. McCaw,10
K. Thompson,M. Barnes,9
S. Curry,D. West,9
S. Curry,I. Clark,9
K. Looney,S. Curry,9
S. Livingston,K. Thompson,9
P. McCaw,K. Thompson,8
K. Thompson,I. Clark,8
K. Durant,P. McCaw,8
D. Green,P. McCaw,8
I. Clark,M. Barnes,8
P. McCaw,D. West,8
A. Iguodala,K. Thompson,8
J. McAdoo,A. Iguodala,7
J. McAdoo,P. McCaw,7
P. McCaw,S. Livingston,7
P. McCaw,Z. Pachulia,7
J. McAdoo,S. Curry,7
D. Green,I. Clark,7
P. McCaw,A. Iguodala,7
I. Clark,J. McAdoo,7
A. Iguodala,M. Barnes,7
P. McCaw,I. Clark,7
S. Curry,M. Barnes,7
I. Clark,K. Looney,7
I. Clark,K. Thompson,6
K. Looney,K. Durant,6
K. Looney,P. McCaw,6
J. McAdoo,I. Clark,6
J. McAdoo,K. Thompson,6
P. McCaw,K. Looney,6
K. Looney,I. Clark,5
J. McAdoo,K. Durant,5
Z. Pachulia,A. Iguodala,5
D. West,P. McCaw,5
D. West,M. Barnes,5
M. Barnes,D. West,5
K. Looney,A. Iguodala,5
I. Clark,J. McGee,4
M. Barnes,S. Livingston,4
A. Iguodala,Z. Pachulia,4
K. Thompson,J. McGee,4
S. Curry,J. McGee,4
J. McGee,S. Livingston,4
K. Looney,K. Thompson,4
Z. Pachulia,M. Barnes,4
S. Livingston,I. Clark,4
D. Jones,P. McCaw,3
K. Looney,D. Green,3
D. Green,J. McGee,3
I. Clark,A. Varejo,3
S. Livingston,M. Barnes,3
M. Barnes,D. Green,3
J. McAdoo,D. Green,3
M. Barnes,I. Clark,3
M. Barnes,K. Thompson,3
D. Green,M. Barnes,3
K. Thompson,K. Looney,3
J. McGee,M. Barnes,3
P. McCaw,A. Varejo,2
P. McCaw,B. Weber,2
A. Iguodala,P. McCaw,2
D. Jones,I. Clark,2
J. McAdoo,K. Looney,2
K. Looney,S. Livingston,2
K. Looney,Z. Pachulia,2
M. Barnes,A. Iguodala,2
I. Clark,Z. Pachulia,2
S. Livingston,J. McAdoo,2
J. McAdoo,M. Barnes,2
I. Clark,B. Weber,2
M. Barnes,J. McGee,2
S. Livingston,P. McCaw,2
K. Looney,A. Varejo,2
A. Iguodala,J. McAdoo,2
K. Durant,J. McGee,2
Z. Pachulia,I. Clark,2
S. Curry,J. McAdoo,2
M. Barnes,Z. Pachulia,2
K. Durant,K. Looney,2
Z. Pachulia,P. McCaw,2
S. Curry,K. Looney,2
Z. Pachulia,S. Livingston,2
M. Barnes,K. Looney,1
K. Durant,A. Varejo,1
D. Jones,J. McAdoo,1
D. Jones,K. Looney,1
D. West,Z. Pachulia,1
K. Durant,J. McAdoo,1
D. Jones,M. Barnes,1
J. McAdoo,Z. Pachulia,1
S. Livingston,A. Varejo,1
D. Green,K. Looney,1
K. Thompson,J. McAdoo,1
B. Weber,A. Iguodala,1
P. McCaw,J. McAdoo,1
A. Iguodala,J. McGee,1
S. Livingston,K. Looney,1
A. Iguodala,K. Looney,1
J. McGee,K. Looney,1
P. McCaw,M. Barnes,1
J. McAdoo,D. West,1
S. Livingston,Z. Pachulia,1
A. Varejo,I. Clark,1
K. Looney,B. Weber,1
Z. Pachulia,D. West,1
J. McAdoo,J. McGee,1
S. Curry,A. Varejo,1
Z. Pachulia,K. Looney,1
K. Looney,D. West,1
D. Green,J. McAdoo,1
K. Looney,J. McAdoo,1
A. Varejo,K. Durant,1
A. Varejo,S. Curry,1
